ID,group,channel,integrated_density
625,control,cfos,155.790808
625,control,cfos,66.37393
625,control,cfos,100.20719000000001
625,control,cfos,212.11089199999998
628,control,cfos,134.240738
628,control,cfos,134.240738
628,control,cfos,82.901169
628,control,cfos,147.703335
628,control,cfos,176.33578500000002
628,control,cfos,252.51221200000003
628,control,cfos,189.939792
628,control,cfos,237.634312
628,control,cfos,355.323412
628,control,cfos,200.20681199999999
628,control,cfos,139.688859
628,control,cfos,182.707075
628,control,cfos,94.988894
628,control,cfos,86.29752500000001
628,control,cfos,120.931542
628,control,cfos,89.98214999999999
628,control,cfos,80.429608
628,control,cfos,85.845578
628,control,cfos,170.96813600000002
628,control,cfos,101.362772
628,control,cfos,88.24056
628,control,cfos,129.045636
628,control,cfos,119.42737399999999
628,control,cfos,155.511616
628,control,cfos,158.484456
628,control,cfos,128.244222
628,control,cfos,112.49082600000001
628,control,cfos,104.03562400000001
628,control,cfos,68.56905
628,control,cfos,86.297544
628,control,cfos,225.18432
628,control,cfos,107.44885799999999
628,control,cfos,78.89904
628,control,cfos,114.63266700000001
628,control,cfos,122.072327
628,control,cfos,65.388638
628,control,cfos,200.39806299999998
628,control,cfos,211.681862
628,control,cfos,188.56215
628,control,cfos,73.209146
628,control,cfos,152.00390000000002
628,control,cfos,188.649972
628,control,cfos,95.787351
628,control,cfos,110.952023
628,control,cfos,107.501268
628,control,cfos,71.98544100000001
628,control,cfos,81.643328
628,control,cfos,122.29370399999999
628,control,cfos,80.469243
628,control,cfos,130.777512
628,control,cfos,126.977452
